"","門市名稱","門市網址","門市地址","門市電話","營業時間"
"1","富農門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=519","台南市東區裕農路766號","036-3317533","假日:9-23
平日:9-23"
"2","惠德門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=518","南投縣草屯鎮太平路二段240.242號","049-2306517","假日:10-22
平日:10-22"
"3","竹東門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=517","新竹縣竹東鎮長春路三段34號1、2樓","03-5100865","平日:09:00-22:00
假日:09:00-22:00"
"4","森北門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=516","台北市中山區林森北路426號","02-25678783","平日:10:00-22:00
假日:10:00-22:00"
"5","101門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=515","台北市信義區信義路五段7號B1","02-81017701","週一~週六:08:30-22:00
週日:10:00-22:00"
"6","五甲藥局","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=514","高雄市鳳山區五甲二路754號1、2樓","07-8121586","平日10:00-23:00
假日10:00-23:00"
"7","永興門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=513","新北市中和區中和路412號1、2樓","02-29212516","平日09:00-23:00
假日09:00-23:00"
"8","松安門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=512","台中市西屯區松竹路二段172號","04-22476137","平日09:00-23:00
假日09:00-23:00"
"9","超越門市(新光三越B2)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=511","台中市西屯區台灣大道三段301號B2","04-22549441","平日11:00-22:00
假日11:00-22:00"
"10","美新門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=510","新北市新店區中正路213號","02-29131587","平日08:00-23:00
假日08:00-23:00"
"11","溪湖藥局","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=509","彰化縣溪湖鎮西環路365號","04-8818617","平日9:00~22:00
假日9:00~22:00"
"12","西門門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=508","台北市萬華區西寧南路60號","02-23617537","平日: 10:00-23:00
假日(週五~六): 10:00-24:00"
"13","東英門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=507","台中市東區十甲路450號","04-22139034","09:00-23:00"
"14","新苗栗門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=506","苗栗縣苗栗市光復路24.26號","037-372463","平日 09:00-22:30
假日 09:00-22:30"
"15","美港門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=505","高雄市苓雅區三多四路106號","07-2693055","平日 09:00-24:00
假日 09:00-24:00"
"16","新仁一門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=499","基隆市仁愛區仁一路165號1樓、165之1號1樓、167號1樓","02-24259138","平日0900-2300
假日0900-2300"
"17","新麗林門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=498","新北市林口區竹林路46號","02-86012468","平日0900-2300
假日0900-2300"
"18","文大門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=497","台北市士林區華岡路55號(大忠館)","02-28623563","週一~週五:08:00-22:00
週六週日:不營業"
"19","大安門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=496","台北市大安區信義路四段54號","02-27080127","平日0800-2300
假日0800-2300"
"20","八德門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=495","桃園市八德區介壽路一段836、838號","03-3611446","平日0900-2230
假日0900-2230"
"21","北車門市(B3)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=494","台北市中正區忠孝西路一段49號","02-23117477","平日0700-2300
假日0700-2300"
"22","新延和門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=493","新北市土城區立德路105號","02-22645952","平日0900-2300
假日0900-2300"
"23","員大門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=492","彰化縣員林鎮大同路一段455號","04-8338106","平日0900-2200
假日0900-2200"
"24","新中福門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=491","桃園市中壢區中正路104號","03-4252461","平日 0930-2230
假日 0930-2230"
"25","新竹南門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=490","苗栗縣竹南鎮延平路105號","037-461424","平日 0900-2230
假日 0900-2230"
"26","長樂門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=489","基隆市安樂區安樂路二段164號","02-24319748","平日 0900-2300
假日 1000-2300"
"27","嘉南門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=488","嘉義市東區吳鳳南路360號","05-2308509","平日 1000-2200
假日 1000-2200"
"28","安和門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=487","台北市大安區信義路四段261號","02-27083614","平日 0800-2300
假日 0800-2300"
"29","麗山門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=486","台北市內湖區內湖路一段419號","02-26271465","平日 0800-2300
假日 0900-2300"
"30","漢中門市(1.2.3樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=485","台北市萬華區漢中街47號","02-23815329","週一~週四、周日1000-24
周五、周六1000-0100"
"31","大成門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=484","桃園市楊梅區大成路68號","03-4883401","平日 0900-2300
假日 0900-2300"
"32","民雄門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=483","嘉義縣民雄鄉中樂村昇平路36號","05-2267170","平日 0900-2200
假日 0900-2200"
"33","華榮門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=482","高雄市鼓山區華榮路203號","07-5524957","平日 1000-2300
假日 0900-2300"
"34","東門門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=481","台北市大安區信義路2段166號","02-23518212","平日 0800-2300
假日 0800-2300"
"35","桃府門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=480","桃園市桃園區縣府路306號","03-3368901","平日 0900-2300
假日 0900-2300"
"36","新福門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=479","台中市太平區中山路4段129號","04-23952540","平日 1000-2300
假日 1000-2300"
"37","饒河門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=478","台北市松山區饒河街247號","02-27489583","平日 1300-0100
假日 1300-0100"
"38","新海山門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=476","新北市土城區裕民路86號","02-22646815","平日 0900-2300
假日 0800-2300"
"39","新鶯歌門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=475","新北市鶯歌區建國路226號","02-26798406","平日 0800-2300
假日 0800-2300"
"40","風采門市(1.2.3樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=474","台北市中正區延平南路103號","02-23701411","平日 0800-2300
假日 0800-2300"
"41","一中門市(1.2.3樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=473","台中市北區一中街31號","04-22255016","平日 1100-2300
假日 1100-2300"
"42","南西門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=472","台北市大同區南京西路316號","02-25491678","平日 0900-2300
假日 0900-2300"
"43","新黎明門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=471","台中市南屯區黎明路二段425號","04-22511907","平日 1000-2300
假日 1000-2300"
"44","昌平門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=470","新北市新莊區中原路139號","02-29900832","平日 0900-2300
假日 0900-2300"
"45","左冠門市(2F)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=469","高雄市左營區站前北路1號","07-5883632","平日 1100-2130
假日 1100-2200"
"46","新大甲門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=468","台中市大甲區順天里3鄰蔣公路136號","04-26801077","平日 1000-2230
假日 0900-2230"
